track,speedup
normalize_5s_intro_KKc_RMln5UY.wav,1.14
normalize_5s_intro_ftjEcrrf7r0.wav,1.18
normalize_5s_intro_bd5m12UEHWI.wav,1.28
normalize_5s_intro_Qr8eZSVaw10.wav,1.02
normalize_5s_intro_ZvrysfBDzSs.wav,1.24
normalize_5s_intro_MY4YJxn-9Og.wav,1.38
normalize_5s_intro_ZBBS4imv1qo.wav,1.46
normalize_5s_intro_IISA6t-9zzc.wav,1.6
normalize_5s_intro_3gjfHYZ873o.wav,1.54
normalize_5s_intro_j9KKh215HTs.wav,0.94
normalize_5s_intro_1Ngn3fZIK2E.wav,1.44
normalize_5s_intro_BrrWNfjgHGs.wav,1.36
normalize_5s_intro_dvf--10EYXw.wav,1.44
normalize_5s_intro_WRSeV_27z6k.wav,0.9
normalize_5s_intro_co6WMzDOh1o.wav,1.36
normalize_5s_intro_PALMMqZLAQk.wav,1.88
normalize_5s_intro_PYM9NUU9Roc.wav,1.42
normalize_5s_intro_0uLI6BnVh6w.wav,1.36
normalize_5s_intro_ZpDQJnI4OhU.wav,1.42
normalize_5s_intro_C7u6rtswjCU.wav,1
normalize_5s_intro_ahpmuikko3U.wav,1
normalize_5s_intro_g20t_K9dlhU.wav,1.34
normalize_5s_intro_9DP0yMwvyWE.wav,1.1
normalize_5s_intro_-8cFfkyk7vA.wav,0.98
normalize_5s_intro_6TT_UgrRHq8.wav,1.26
normalize_5s_intro_0EVVKs6DQLo.wav,1.14
normalize_5s_intro_1juIFmPyG-Y.wav,1.244
normalize_5s_intro_eXvBjCO19QY.wav,1.14
normalize_5s_intro_mWfWyhzC22U.wav,1.14
normalize_5s_intro_gyegm85BPPA.wav,1.62
normalize_5s_intro_uo8qDCDZhK0.wav,1.24
normalize_5s_intro_aIyqRdrHodE.wav,1
normalize_5s_intro_v0UvOsCi8mc.wav,1.12
normalize_5s_intro_Mme9REVuidw.wav,1
normalize_5s_intro_hejXc_FSYb8.wav,1.1
normalize_5s_intro_NL2ZHPji3Z0.wav,0.96
normalize_5s_intro_GsPq9mzFNGY.wav,1.04
normalize_5s_intro_fE2h3lGlOsk.wav,1.1
normalize_5s_intro_lYxcW8jtFw0.wav,1.02
normalize_5s_intro_hn3wJ1_1Zsg.wav,1.22
normalize_5s_intro_zaCbuB3w0kg.wav,1.08
normalize_5s_intro_hV-FwW1LgxU.wav,1.34
