,Unnamed: 0,id,title,viewCount,valid
108,747,https://www.youtube.com/watch?v=4P1JXhz34KQ,JAGGA SAFRI l KIRANJOTI l KAD LVA GAYE l LATEST PUNJABI SONGS 2020 @Alaap music,258525,
109,206,https://www.youtube.com/watch?v=GQ5-L4J3CcI,Mame Diarra Bousso Gatié Ngalama . Lamp Diop Kara yeungeul,256400,1.0
110,479,https://www.youtube.com/watch?v=kAydV_JESqg,Старый любимый русский рок | Лучшие хиты русского рока 80-x 90-х Ep.4,245467,0.0
111,37,https://www.youtube.com/watch?v=zOUZrLL1PCU,Como comenzar a manejar MIXER digital PRESONUS (Tutorial HD COMPLETO Español),217560,0.0
112,861,https://www.youtube.com/watch?v=J62-tttp3wQ,NAG LABAS NG MASASAMANG SALOOBIN | TRUE TALK INSIDE SY -SY MUSIC,208780,
113,456,https://www.youtube.com/watch?v=xAi1WcBul-I,Старый любимый русский рок | Лучшие хиты русского рока 80-x 90-х,207032,0.0
114,461,https://www.youtube.com/watch?v=flb2XXmxyZA,Старый любимый русский рок | Лучшие хиты русского рока 80-x 90-х Ep.3,201760,0.0
115,183,https://www.youtube.com/watch?v=WXaw_4NzSa8,"Szászcsávási Cigányzenekar -  Gyertek fiúk,menjünk a kocsmába.flv",190363,0.0
116,32,https://www.youtube.com/watch?v=t7-OcRIdUu8,Edgardo Donato - Se Va La Vida,178723,1.0
117,133,https://www.youtube.com/watch?v=lmfYZOu-XE8,✪☀ WAKACJE 2020 ☀✪ || SUMMER MIX 2020 VOL.1 [ Najlepsza VIXA Do Auta 🚗 ]❤ #HITY / #REMIXY @DJ TomUś,168159,0.0
118,309,https://www.youtube.com/watch?v=qfY-0C8K0HI,Joseph Schmidt - La Paloma,166359,0.0
119,374,https://www.youtube.com/watch?v=xJT-HKTkBOY,Minh Tuyết - Thay Thế (Lương Bằng Quang) PBN 108,155228,0.0
120,3,https://www.youtube.com/watch?v=9JmeeJT5p9Q,PreSonus StudioLive 32.4.2AI Digital Mixer - Review,152720,0.0
121,300,https://www.youtube.com/watch?v=5pTFTPp-qFY,完全因你 - 彭羚,150096,0.0
122,343,https://www.youtube.com/watch?v=-b7X97M5tDo,Trixtor - Runaway (ft. Holly Drummond),149559,1.0
